run_id,seed,fold,start_date,end_date,seconds,run_id,seed,signals.entry_z,signals.exit_z,signals.hard_stop_z,gates.fdr_alpha,gates.time_stop_multiple,gates.hl_min_days,gates.hl_max_days,risk.max_active_spreads,gates.adf_pvalue,Net Sharpe,Gross Sharpe,Net APR,Gross APR,Cost skip rate
000,300000,F1_2017_2018,2017-01-01,2018-12-31,6.015,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.20676354745545406,0.2691643041386398,0.007822626871162182,0.010206331865971674,0.0
000,300000,F2_2018_2019,2018-01-01,2019-12-31,6.024,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.2826557214214768,-0.17628683709591406,-0.006257481286350737,-0.0038920087072934744,0.0
000,300000,F3_2019_2020,2019-01-01,2020-12-31,7.052,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.1625645749959894,-0.11565864429496565,-0.005589137140003794,-0.003968861707448961,0.0
000,300000,F4_2020_2021,2020-01-01,2021-12-31,7.189,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-1.1738827292645793,-1.0638866239055438,-0.02970154539736512,-0.026753230199813835,0.0
000,300000,F5_2022_2023,2022-01-01,2023-12-31,6.073,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.5219857773702914,0.5765044163032363,0.017799999084298853,0.019656443162629704,0.0
000,300000,F1_2017_2018,2017-01-01,2018-12-31,5.719,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.20676354745545406,0.2691643041386398,0.007822626871162182,0.010206331865971674,0.0
000,300000,F2_2018_2019,2018-01-01,2019-12-31,5.131,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.2826557214214768,-0.17628683709591406,-0.006257481286350737,-0.0038920087072934744,0.0
000,300000,F3_2019_2020,2019-01-01,2020-12-31,6.314,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-0.1625645749959894,-0.11565864429496565,-0.005589137140003794,-0.003968861707448961,0.0
000,300000,F4_2020_2021,2020-01-01,2021-12-31,6.574,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,-1.1738827292645793,-1.0638866239055438,-0.02970154539736512,-0.026753230199813835,0.0
000,300000,F5_2022_2023,2022-01-01,2023-12-31,5.523,000,300000,1.868,0.2708,5,0.1079,4.0,3,60,3,0.1145,0.5219857773702914,0.5765044163032363,0.017799999084298853,0.019656443162629704,0.0
001,300001,F1_2017_2018,2017-01-01,2018-12-31,5.148,001,300001,2.2768,0.6575,5,0.1111,4.0,3,30,6,0.124,0.01941855471291044,0.09739743247007379,0.0006990582679128953,0.0035113000604247973,0.0
001,300001,F2_2018_2019,2018-01-01,2019-12-31,5.344,001,300001,2.2768,0.6575,5,0.1111,4.0,3,30,6,0.124,-1.0122044466890765,-0.8770316470724668,-0.0179338498608397,-0.015520985058551767,0.0
001,300001,F3_2019_2020,2019-01-01,2020-12-31,6.459,001,300001,2.2768,0.6575,5,0.1111,4.0,3,30,6,0.124,0.038792062196471695,0.10703776754262537,0.0009549201528770909,0.002631202186644078,0.0
001,300001,F4_2020_2021,2020-01-01,2021-12-31,7.28,001,300001,2.2768,0.6575,5,0.1111,4.0,3,30,6,0.124,-1.1278608305049012,-0.9885208159407937,-0.018341965871878658,-0.016014598014354706,0.0
001,300001,F5_2022_2023,2022-01-01,2023-12-31,6.084,001,300001,2.2768,0.6575,5,0.1111,4.0,3,30,6,0.124,0.042907566629958246,0.11379116485297985,0.0009479989435101369,0.00250643534740752,0.0
002,300002,F1_2017_2018,2017-01-01,2018-12-31,5.101,002,300002,2.4242,0.4542,5,0.0881,4.0,3,20,3,0.0432,0.28529233710714413,0.3399274830230373,0.010733818423823411,0.012799681699105718,0.0
002,300002,F2_2018_2019,2018-01-01,2019-12-31,5.334,002,300002,2.4242,0.4542,5,0.0881,4.0,3,20,3,0.0432,-0.8950727124529978,-0.7926564360733995,-0.017952152760728122,-0.01582026343310877,0.0
002,300002,F3_2019_2020,2019-01-01,2020-12-31,6.28,002,300002,2.4242,0.4542,5,0.0881,4.0,3,20,3,0.0432,0.43274814327064587,0.4878286244641057,0.013418667085226365,0.015082771465778348,0.0
002,300002,F4_2020_2021,2020-01-01,2021-12-31,6.612,002,300002,2.4242,0.4542,5,0.0881,4.0,3,20,3,0.0432,-0.982574753386861,-0.8578242619351502,-0.019312118595635214,-0.01669374732112885,0.0
002,300002,F5_2022_2023,2022-01-01,2023-12-31,5.469,002,300002,2.4242,0.4542,5,0.0881,4.0,3,20,3,0.0432,0.16834774603634195,0.2274730275109166,0.004374966671514816,0.005894141474805909,0.0
003,300003,F1_2017_2018,2017-01-01,2018-12-31,5.172,003,300003,1.7762,0.7812,5,0.0818,3.0,3,60,8,0.1797,-0.016476146966105998,0.07477008687645256,-0.0005178676684474474,0.0023542625509589514,0.0
003,300003,F2_2018_2019,2018-01-01,2019-12-31,5.346,003,300003,1.7762,0.7812,5,0.0818,3.0,3,60,8,0.1797,-0.17624579971765592,0.007269541591227062,-0.003075287325284185,0.00012648546459760336,0.0
003,300003,F3_2019_2020,2019-01-01,2020-12-31,6.455,003,300003,1.7762,0.7812,5,0.0818,3.0,3,60,8,0.1797,-0.7352369353625358,-0.6494891069875687,-0.013744367676706832,-0.012096491769254206,0.0
003,300003,F4_2020_2021,2020-01-01,2021-12-31,6.76,003,300003,1.7762,0.7812,5,0.0818,3.0,3,60,8,0.1797,-1.3356936148524328,-1.1621192732112606,-0.022081180277013304,-0.019115901035904888,0.0
003,300003,F5_2022_2023,2022-01-01,2023-12-31,5.726,003,300003,1.7762,0.7812,5,0.0818,3.0,3,60,8,0.1797,0.1428611559871081,0.23665748169070971,0.0032241263365338536,0.005336152742432975,0.0
004,300004,F1_2017_2018,2017-01-01,2018-12-31,5.708,004,300004,2.1,0.4481,5,0.0905,4.0,3,20,8,0.0536,0.027259329441079196,0.11691919527629091,0.0009476301724888491,0.004059688047932991,0.0
004,300004,F2_2018_2019,2018-01-01,2019-12-31,5.359,004,300004,2.1,0.4481,5,0.0905,4.0,3,20,8,0.0536,-0.7460250997697031,-0.5919513060019747,-0.0130824497375034,-0.010348497494063054,0.0
004,300004,F3_2019_2020,2019-01-01,2020-12-31,6.541,004,300004,2.1,0.4481,5,0.0905,4.0,3,20,8,0.0536,-0.128819991180268,-0.05528628446234092,-0.002859390333010722,-0.0012250455302000047,0.0
004,300004,F4_2020_2021,2020-01-01,2021-12-31,6.779,004,300004,2.1,0.4481,5,0.0905,4.0,3,20,8,0.0536,-0.8696292026877026,-0.7272608136662962,-0.015648558334062486,-0.013055941007614136,0.0
004,300004,F5_2022_2023,2022-01-01,2023-12-31,5.708,004,300004,2.1,0.4481,5,0.0905,4.0,3,20,8,0.0536,0.4161776957204615,0.48382842948777083,0.010986815180303129,0.01275398117436656,0.0
005,300005,F1_2017_2018,2017-01-01,2018-12-31,5.023,005,300005,1.9602,0.338,5,0.1153,4.0,3,20,3,0.0941,0.44327241250103755,0.5107478637894114,0.015340690714354177,0.01772090744575769,0.0
005,300005,F2_2018_2019,2018-01-01,2019-12-31,5.187,005,300005,1.9602,0.338,5,0.1153,4.0,3,20,3,0.0941,-0.1331327850690413,-0.01960125461978768,-0.002876531010005261,-0.00042242204220076387,0.0
005,300005,F3_2019_2020,2019-01-01,2020-12-31,6.282,005,300005,1.9602,0.338,5,0.1153,4.0,3,20,3,0.0941,-0.2342379998660492,-0.18824916281870993,-0.00805397230547018,-0.006460467611074447,0.0
005,300005,F4_2020_2021,2020-01-01,2021-12-31,6.562,005,300005,1.9602,0.338,5,0.1153,4.0,3,20,3,0.0941,-1.1695935494874523,-1.0533380461448523,-0.027253055179400208,-0.024342761910438535,0.0
005,300005,F5_2022_2023,2022-01-01,2023-12-31,5.638,005,300005,1.9602,0.338,5,0.1153,4.0,3,20,3,0.0941,0.3733497949695052,0.42750142510641487,0.012731999903159968,0.014551589726562274,0.0
006,300006,F1_2017_2018,2017-01-01,2018-12-31,5.058,006,300006,2.16,0.7788,5,0.065,4.0,3,30,4,0.0345,0.7634090642083589,0.8173394590134906,0.025237689384262744,0.027080188332941714,0.0
006,300006,F2_2018_2019,2018-01-01,2019-12-31,5.163,006,300006,2.16,0.7788,5,0.065,4.0,3,30,4,0.0345,-0.5678785814193036,-0.453145519717362,-0.009966417883766445,-0.007949626181459998,0.0
006,300006,F3_2019_2020,2019-01-01,2020-12-31,6.309,006,300006,2.16,0.7788,5,0.065,4.0,3,30,4,0.0345,0.24222316084872764,0.3086180263532572,0.006712050474358166,0.008545205343306064,0.0
006,300006,F4_2020_2021,2020-01-01,2021-12-31,6.652,006,300006,2.16,0.7788,5,0.065,4.0,3,30,4,0.0345,-0.8753727426125673,-0.7392529421697592,-0.017785813779831967,-0.014992352797448639,0.0
006,300006,F5_2022_2023,2022-01-01,2023-12-31,5.504,006,300006,2.16,0.7788,5,0.065,4.0,3,30,4,0.0345,0.49732027977268567,0.5580367285014843,0.01495119703897678,0.0167475282011878,0.0
007,300007,F1_2017_2018,2017-01-01,2018-12-31,5.248,007,300007,1.8845,0.3227,6,0.064,4.0,3,30,8,0.1222,-0.10843685365669752,-0.03282935459670155,-0.003945854358508692,-0.0011962651248049836,0.0
007,300007,F2_2018_2019,2018-01-01,2019-12-31,5.356,007,300007,1.8845,0.3227,6,0.064,4.0,3,30,8,0.1222,-0.5458257178076124,-0.38845652486304383,-0.009503729328340498,-0.006748394996833042,0.0
007,300007,F3_2019_2020,2019-01-01,2020-12-31,6.526,007,300007,1.8845,0.3227,6,0.064,4.0,3,30,8,0.1222,-1.0080764904281314,-0.9457310101745452,-0.02434332166375256,-0.022766687241911887,0.0
007,300007,F4_2020_2021,2020-01-01,2021-12-31,6.854,007,300007,1.8845,0.3227,6,0.064,4.0,3,30,8,0.1222,-0.8941748827802597,-0.7542786818338799,-0.01880940080218539,-0.015825944316595786,0.0
007,300007,F5_2022_2023,2022-01-01,2023-12-31,5.701,007,300007,1.8845,0.3227,6,0.064,4.0,3,30,8,0.1222,0.3537367947999813,0.43365044266302083,0.008827733113672643,0.010821148441721579,0.0
008,300008,F1_2017_2018,2017-01-01,2018-12-31,5.251,008,300008,1.9282,0.3204,5,0.1017,4.0,3,20,8,0.0897,-0.18431657446812763,-0.09505387681059482,-0.006637312767385928,-0.003425168907784419,0.0
008,300008,F2_2018_2019,2018-01-01,2019-12-31,5.447,008,300008,1.9282,0.3204,5,0.1017,4.0,3,20,8,0.0897,-0.7530892914551872,-0.5991835684931331,-0.0152642646429837,-0.012114336221991305,0.0
008,300008,F3_2019_2020,2019-01-01,2020-12-31,6.497,008,300008,1.9282,0.3204,5,0.1017,4.0,3,20,8,0.0897,-0.4233377492407704,-0.3457648729539778,-0.009156048162673357,-0.007461884720206261,0.0
008,300008,F4_2020_2021,2020-01-01,2021-12-31,6.848,008,300008,1.9282,0.3204,5,0.1017,4.0,3,20,8,0.0897,-1.147585229994613,-1.0042578879641895,-0.02166567326098901,-0.018905701748818157,0.0
008,300008,F5_2022_2023,2022-01-01,2023-12-31,5.744,008,300008,1.9282,0.3204,5,0.1017,4.0,3,20,8,0.0897,0.26791126651986596,0.3423542447536577,0.007093081246748868,0.00904659862056178,0.0
009,300009,F1_2017_2018,2017-01-01,2018-12-31,5.085,009,300009,2.2452,0.7116,5,0.0603,4.0,3,20,5,0.0657,0.22596871311015354,0.28050204671807294,0.008923541934611121,0.011098187663481796,0.0
009,300009,F2_2018_2019,2018-01-01,2019-12-31,5.198,009,300009,2.2452,0.7116,5,0.0603,4.0,3,20,5,0.0657,-0.678743211601381,-0.543627819764121,-0.011432523215201953,-0.0091473022631763,0.0
009,300009,F3_2019_2020,2019-01-01,2020-12-31,6.44,009,300009,2.2452,0.7116,5,0.0603,4.0,3,20,5,0.0657,-0.23163861490803286,-0.16207774132503028,-0.0058724782422694055,-0.004099203505337242,0.0
009,300009,F4_2020_2021,2020-01-01,2021-12-31,6.623,009,300009,2.2452,0.7116,5,0.0603,4.0,3,20,5,0.0657,-1.190449584739657,-1.0383829329649221,-0.01874938073490815,-0.0163156057330966,0.0
009,300009,F5_2022_2023,2022-01-01,2023-12-31,5.56,009,300009,2.2452,0.7116,5,0.0603,4.0,3,20,5,0.0657,0.17564164068496854,0.23983502097622955,0.004750757003193054,0.006470948289205213,0.0
010,300010,F1_2017_2018,2017-01-01,2018-12-31,5.209,010,300010,2.0233,0.4015,5,0.1182,4.0,3,30,7,0.0362,0.1953540661526935,0.2809154875798863,0.007098876175953266,0.010223496616034456,0.0
010,300010,F2_2018_2019,2018-01-01,2019-12-31,5.366,010,300010,2.0233,0.4015,5,0.1182,4.0,3,30,7,0.0362,-0.9144363699387543,-0.7604969754441664,-0.01785136476744555,-0.014805214529189455,0.0
010,300010,F3_2019_2020,2019-01-01,2020-12-31,6.471,010,300010,2.0233,0.4015,5,0.1182,4.0,3,30,7,0.0362,-0.21842163422295757,-0.1412572224949239,-0.004599406657042519,-0.0029668153350949286,0.0
010,300010,F4_2020_2021,2020-01-01,2021-12-31,6.783,010,300010,2.0233,0.4015,5,0.1182,4.0,3,30,7,0.0362,-0.9192781687179056,-0.7798450072868385,-0.017298383201360276,-0.014626614857137203,0.0
010,300010,F5_2022_2023,2022-01-01,2023-12-31,5.659,010,300010,2.0233,0.4015,5,0.1182,4.0,3,30,7,0.0362,0.21362959436709578,0.28657466046859476,0.005789054865669611,0.007745247547104322,0.0
011,300011,F1_2017_2018,2017-01-01,2018-12-31,5.269,011,300011,1.9365,0.6149,6,0.1134,4.0,3,60,7,0.16,0.014431093429342177,0.10177162918229603,0.0005272799864418225,0.003725587839210194,0.0
011,300011,F2_2018_2019,2018-01-01,2019-12-31,5.378,011,300011,1.9365,0.6149,6,0.1134,4.0,3,60,7,0.16,-0.6995361636025136,-0.5437083854602095,-0.0140170396143152,-0.010867905870996147,0.0
011,300011,F3_2019_2020,2019-01-01,2020-12-31,6.465,011,300011,1.9365,0.6149,6,0.1134,4.0,3,60,7,0.16,-0.6251726877504579,-0.5578414229197484,-0.016254718584152724,-0.014469363195002081,0.0
011,300011,F4_2020_2021,2020-01-01,2021-12-31,6.772,011,300011,1.9365,0.6149,6,0.1134,4.0,3,60,7,0.16,-0.9163526095056382,-0.772374226648417,-0.0174468437007122,-0.014677681988179682,0.0
011,300011,F5_2022_2023,2022-01-01,2023-12-31,5.677,011,300011,1.9365,0.6149,6,0.1134,4.0,3,60,7,0.16,0.5753226719186731,0.6541154957210314,0.01526678065537521,0.01731824778883828,0.0
012,300012,F1_2017_2018,2017-01-01,2018-12-31,5.232,012,300012,1.8881,0.7539,5,0.0953,4.0,3,20,7,0.0292,0.1059266173549267,0.19335768823516042,0.0037510076252082144,0.006855674531990184,0.0
012,300012,F2_2018_2019,2018-01-01,2019-12-31,5.373,012,300012,1.8881,0.7539,5,0.0953,4.0,3,20,7,0.0292,-1.0890547194623674,-0.9412573864070484,-0.02276974988854401,-0.019625892753141336,0.0
012,300012,F3_2019_2020,2019-01-01,2020-12-31,6.424,012,300012,1.8881,0.7539,5,0.0953,4.0,3,20,7,0.0292,-0.21710845154601024,-0.12943182064413256,-0.0041266211593525125,-0.002453424138844011,0.0
012,300012,F4_2020_2021,2020-01-01,2021-12-31,6.812,012,300012,1.8881,0.7539,5,0.0953,4.0,3,20,7,0.0292,-1.0229272410945487,-0.8739922521356436,-0.018816205796898525,-0.016028558175027373,0.0
012,300012,F5_2022_2023,2022-01-01,2023-12-31,5.685,012,300012,1.8881,0.7539,5,0.0953,4.0,3,20,7,0.0292,0.37066503374109233,0.4517370540110636,0.009459893892134546,0.011521024144882925,0.0
013,300013,F1_2017_2018,2017-01-01,2018-12-31,5.165,013,300013,2.4982,0.4405,5,0.1157,4.0,3,60,5,0.1185,0.26093671791637146,0.320588077305039,0.01046609386908449,0.012869299349547685,0.0
013,300013,F2_2018_2019,2018-01-01,2019-12-31,5.242,013,300013,2.4982,0.4405,5,0.1157,4.0,3,60,5,0.1185,-0.8653557205068424,-0.738324717000449,-0.014336323140855615,-0.012196637951003604,0.0
013,300013,F3_2019_2020,2019-01-01,2020-12-31,6.316,013,300013,2.4982,0.4405,5,0.1157,4.0,3,60,5,0.1185,0.3755572234138607,0.43961501925638174,0.009589468015324294,0.01119149620294571,0.0
013,300013,F4_2020_2021,2020-01-01,2021-12-31,6.612,013,300013,2.4982,0.4405,5,0.1157,4.0,3,60,5,0.1185,-0.8914805771337382,-0.7539810642733455,-0.013379589146660362,-0.011273240549087526,0.0
013,300013,F5_2022_2023,2022-01-01,2023-12-31,5.514,013,300013,2.4982,0.4405,5,0.1157,4.0,3,60,5,0.1185,0.25584132454765673,0.3214613116027351,0.0056960408443979,0.007137483425331333,0.0
014,300014,F1_2017_2018,2017-01-01,2018-12-31,5.209,014,300014,2.1478,0.1095,6,0.077,4.0,3,20,6,0.1313,0.37918891874282035,0.44420189972736596,0.014901024888243365,0.017488821198235374,0.0
014,300014,F2_2018_2019,2018-01-01,2019-12-31,5.317,014,300014,2.1478,0.1095,6,0.077,4.0,3,20,6,0.1313,-0.8562527576531651,-0.7228208598025889,-0.01626542610765037,-0.013699526459264564,0.0
014,300014,F3_2019_2020,2019-01-01,2020-12-31,6.408,014,300014,2.1478,0.1095,6,0.077,4.0,3,20,6,0.1313,-0.6785826520350828,-0.6203738771280207,-0.020071332871764637,-0.018308213663816453,0.0
014,300014,F4_2020_2021,2020-01-01,2021-12-31,6.719,014,300014,2.1478,0.1095,6,0.077,4.0,3,20,6,0.1313,-0.252878836776682,-0.1086507946637138,-0.004409621584864186,-0.0018942123841643298,0.0
014,300014,F5_2022_2023,2022-01-01,2023-12-31,5.631,014,300014,2.1478,0.1095,6,0.077,4.0,3,20,6,0.1313,0.6265971886813393,0.691584046750017,0.017072352978160916,0.018813638720776862,0.0
015,300015,F1_2017_2018,2017-01-01,2018-12-31,5.132,015,300015,1.9885,0.2959,6,0.0868,3.0,3,30,6,0.1334,0.3180509217204887,0.39724830805650246,0.011092063551688788,0.0138924800818798,0.0
015,300015,F2_2018_2019,2018-01-01,2019-12-31,5.262,015,300015,1.9885,0.2959,6,0.0868,3.0,3,30,6,0.1334,-0.44267141879103616,-0.2819268506007723,-0.0079178144312091,-0.0050158051111061745,0.0
015,300015,F3_2019_2020,2019-01-01,2020-12-31,6.394,015,300015,1.9885,0.2959,6,0.0868,3.0,3,30,6,0.1334,-1.0625789105961105,-1.0009769001656916,-0.030253968846903876,-0.0284179575754404,0.0
015,300015,F4_2020_2021,2020-01-01,2021-12-31,6.646,015,300015,1.9885,0.2959,6,0.0868,3.0,3,30,6,0.1334,-0.9193151446291532,-0.7488438554835641,-0.014051020147389952,-0.011385904299020769,0.0
